epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1098.44,1.08594,0.61661,0.98481,1.01891,0.00997773,0.00332591,0.00997773,0.00332591,0.00997773,0.00332591,0.00997773,0.00332591
2,2238.48,1.1136,0.59473,0.98551,1.11205,0.0195822,0.00652739,0.0195822,0.00652739,0.0195822,0.00652739,0.0195822,0.00652739
3,3376.66,1.16709,0.58805,0.98245,1.09991,0.0287906,0.00959687,0.0287906,0.00959687,0.0287906,0.00959687,0.0287906,0.00959687
4,4513.75,1.20212,0.59362,0.9844,1.0954,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
