epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.1551,1.77857,0.43132,0.94302,1.48119,0.000302325,0.000302325,0.000302325
2,93.9557,1.48907,0.5,0.96838,1.30929,0.000405568,0.000405568,0.000405568
3,146.027,1.36617,0.54653,0.97604,1.19533,0.000308831,0.000308831,0.000308831
